 Name                                     Version           License
 ipykernel                                6.28.0            BSD License
 ipython                                  8.19.0            BSD License
 jedi                                     0.19.1            MIT License
 jupyter_client                           8.6.0             BSD License
 jupyter_core                             5.7.0             BSD License
 kiwisolver                               1.4.5             BSD License
 kthread                                  0.2.3             MIT License
 kthread-sleep                            0.11              MIT
 lazy_loader                              0.3               BSD License
 list-all-files-recursively               0.12              MIT
 logcontrol                               0.2.1             GNU Lesser General Public License v3 or later (LGPLv3+)
 loguru                                   0.7.2             MIT License
 matplotlib                               3.8.2             Python Software Foundation License
 matplotlib-inline                        0.1.6             BSD 3-Clause
 memory-profiler                          0.61.0            BSD License
 mjpeg-streamer                           2023.12.25.post0  GNU Affero General Public License v3 or later (AGPLv3+)
 more-itertools                           10.2.0            MIT License
 mpmath                                   1.3.0             BSD License
 mss                                      9.0.1             MIT License
 multidict                                6.0.5             Apache Software License
 nest-asyncio                             1.5.8             BSD License
 netifaces                                0.11.0            MIT License
 networkx                                 3.2.1             BSD License
 ninja                                    1.11.1.1          Apache Software License; BSD License
 numpy                                    1.26.2            BSD License
 nutikacompile                            0.13              MIT
 olefile                                  0.47              BSD License
 opencv-python                            4.8.1.78          Apache Software License
 opencv-python-headless                   4.9.0.80          Apache Software License
 ordered-set                              4.1.0             MIT License
 packaging                                23.2              Apache Software License; BSD License
 pandas                                   2.2.0             BSD License
 parso                                    0.8.3             MIT License
 pefile                                   2023.2.7          MIT
 pexpect                                  4.9.0             ISC License (ISCL)
 platformdirs                             4.1.0             MIT License
 prompt-toolkit                           3.0.43            BSD License
 proxy-tools                              0.1.0             MIT License
 psutil                                   5.9.6             BSD License
 ptyprocess                               0.7.0             ISC License (ISCL)
 pure-eval                                0.2.2             MIT License
 pyclipper                                1.3.0.post5       MIT License
 pycparser                                2.21              BSD License
 pydub                                    0.25.1            MIT License
 pygame                                   2.5.2             GNU Library or Lesser General Public License (LGPL)
 pyglet                                   2.0.10            BSD License
 pyinstaller                              6.2.0             GNU General Public License v2 (GPLv2)
 pyinstaller-hooks-contrib                2023.10           Apache Software License; GNU General Public License v2 (GPLv2)   
 pyinstaller-versionfile                  2.1.1             MIT License
 pynput                                   1.7.7             GNU Lesser General Public License v3 (LGPLv3)
 pyparsing                                3.1.1             MIT License
 pyperclip                                1.8.2             BSD License
 pypiwin32                                223               UNKNOWN
 pystray                                  0.19.5            GNU Lesser General Public License v3 (LGPLv3)
 pytesseract                              0.3.10            Apache Software License
 python-bidi                              0.4.2             GNU Library or Lesser General Public License (LGPL)
 python-dateutil                          2.8.2             Apache Software License; BSD License
 python-osc                               1.8.3             Freely Distributable
 pythonnet                                3.0.3             MIT License
 pyttsx3                                  2.90              GNU General Public License v3 (GPLv3)
 pytweening                               1.0.7             MIT License
 pytz                                     2024.1            MIT License
 pywebview                                4.4.1             BSD License
 pywin32                                  306               Python Software Foundation License
 pywin32-ctypes                           0.2.2             BSD-3-Clause
 pywinstyles                              1.4               CC0 1.0 Universal (CC0 1.0) Public Domain Dedication
 pyzmq                                    25.1.2            BSD License; GNU Library or Lesser General Public License (LGPL) 
 requests                                 2.31.0            Apache Software License
 scikit-image                             0.22.0            BSD License
 scipy                                    1.11.4            BSD License
 screeninfo                               0.8.1             MIT License
 shapely                                  2.0.3             BSD License
 shlexwhichplus                           0.10              MIT
 simpleaudio                              1.0.4             MIT License
 six                                      1.16.0            MIT License
 sounddevice                              0.4.6             MIT License
 soundfile                                0.12.1            BSD License
 spawny                                   2.1.4             BSD License
 stack-data                               0.6.3             MIT License
 subprocess-alive                         0.10              MIT
 subprocesskiller                         0.11              MIT
 svgpathtools                             1.6.1             MIT License
 svgwrite                                 1.4.3             MIT License
 sympy                                    1.12              BSD License
 termcolor                                2.4.0             MIT License
 textdistance                             4.6.1             MIT License
 threadmanager                            0.1.0             GNU Lesser General Public License v3 or later (LGPLv3+)
 tifffile                                 2023.12.9         BSD License
 tkextrafont                              0.6.3             GNU GPLv3
 torch                                    2.2.0             BSD License
 torchvision                              0.17.0            BSD
 tornado                                  6.4               Apache Software License
 touchtouch                               0.11              MIT
 traitlets                                5.14.1            BSD License
 typing_extensions                        4.9.0             Python Software Foundation License
 tzdata                                   2024.1            Apache Software License
 urllib3                                  2.2.1             MIT License
 vdf                                      3.4               MIT License
 websockets                               12.0              BSD License
 wexpect                                  4.0.0             MIT
 whichcraft                               0.6.1             BSD License
 win32-setctime                           1.1.0             MIT License
 windows-capture                          1.0.60            MIT License
 yarl                                     1.9.4             Apache Software License
 zope.event                               5.0               Zope Public License
 zope.interface                           6.1               Zope Public License
 zstandard                                0.22.0            BSD License
