silence,x,y,dist,multiplier,stopped,encoded,class,isRunning,id
0,-999,-313,1046,1,False,null,aim,True,1705186959
0,-998,827,1296,1,False,null,aim,True,1705186959
0,-997,9,997,1,False,null,aim,True,1705186959
0,-996,725,1231,1,False,null,aim,True,1705186959
0,-995,-538,1131,1,False,null,aim,True,1705186959
0,-994,41,994,1,False,null,aim,True,1705186959
0,-993,347,1051,1,False,null,aim,True,1705186959
0,-992,304,1037,1,False,null,aim,True,1705186959
0,-991,-89,994,1,False,null,aim,True,1705186959
0,-990,503,1110,1,False,null,aim,True,1705186959
0,-989,-374,1057,1,False,null,aim,True,1705186959
0,-988,996,1402,1,False,null,aim,True,1705186959
0,-987,811,1277,1,False,null,aim,True,1705186959
0,-986,522,1115,1,False,null,aim,True,1705186959
0,-985,-603,1154,1,False,null,aim,True,1705186959
0,-984,-932,1355,1,False,null,aim,True,1705186959
0,-983,987,1393,1,False,null,aim,True,1705186959
0,-982,-977,1385,1,False,null,aim,True,1705186959
0,-981,715,1213,1,False,null,aim,True,1705186959
0,-980,-401,1058,1,False,null,aim,True,1705186959
0,-979,798,1263,1,False,null,aim,True,1705186959
0,-978,430,1068,1,False,null,aim,True,1705186959
0,-977,276,1015,1,False,null,aim,True,1705186959
0,-976,-612,1152,1,False,null,aim,True,1705186959
0,-975,577,1132,1,False,null,aim,True,1705186959
0,-974,674,1184,1,False,null,aim,True,1705186959
0,-973,-312,1021,1,False,null,aim,True,1705186959
0,-972,-925,1341,1,False,null,aim,True,1705186959
0,-971,-170,985,1,False,null,aim,True,1705186960
0,-970,-38,970,1,False,null,aim,True,1705186960
0,-969,786,1247,1,False,null,aim,True,1705186960
0,-968,-444,1064,1,False,null,aim,True,1705186960
0,-967,-238,995,1,False,null,aim,True,1705186960
0,-966,880,1306,1,False,null,aim,True,1705186960
0,-965,817,1264,1,False,null,aim,True,1705186960
0,-964,-604,1137,1,False,null,aim,True,1705186960
0,-963,-241,992,1,False,null,aim,True,1705186960
0,-962,-280,1001,1,False,null,aim,True,1705186960
0,-961,-430,1052,1,False,null,aim,True,1705186960
0,-960,-535,1099,1,False,null,aim,True,1705186960
0,-959,596,1129,1,False,null,aim,True,1705186960
0,-958,-471,1067,1,False,null,aim,True,1705186960
0,-957,-863,1288,1,False,null,aim,True,1705186960
0,-956,147,967,1,False,null,aim,True,1705186960
0,-955,717,1194,1,False,null,aim,True,1705186960
0,-954,152,966,1,False,null,aim,True,1705186960
0,-953,593,1122,1,False,null,aim,True,1705186960
0,-952,570,1109,1,False,null,aim,True,1705186960
0,-951,321,1003,1,False,null,aim,True,1705186960
0,-950,-152,962,1,False,null,aim,True,1705186960
0,-949,-76,952,1,False,null,aim,True,1705186960
0,-948,-338,1006,1,False,null,aim,True,1705186960
0,-947,-694,1174,1,False,null,aim,True,1705186960
0,-946,-804,1241,1,False,null,aim,True,1705186960
0,-945,447,1045,1,False,null,aim,True,1705186960
0,-944,-489,1063,1,False,null,aim,True,1705186960
0,-943,-550,1091,1,False,null,aim,True,1705186960
